,sample,date,time,n_iter,df,cnc_uranine,cnc_SrB,area1,area2,area3,area4
145,2_1_20_CorrectionData.txt,2024-11-22 06:00:00,84.0,15,1,0.28848875182780404,0.1376005653128549,11678.288304927486,10008.165744319465,4694.415595355753,2445.312471945079
146,2_2_20_CorrectionData.txt,2024-11-22 06:30:00,84.5,15,1,0.2188283995518288,0.10955786151061506,8858.373586771584,7057.492869885449,3261.1689688377473,1946.962968810643
147,2_3_20_CorrectionData.txt,2024-11-22 07:00:00,85.0,15,1,0.26662316945054837,0.1138964825389412,10793.14954877539,7618.465757077959,3105.99272083986,2024.0650075085755
148,2_4_20_CorrectionData.txt,2024-11-22 07:30:00,85.5,15,1,0.2447918243383242,0.1506509565239537,9909.396748398958,7981.897785897675,3874.801737431063,2677.2321905865333
149,2_1_21_CorrectionData.txt,2024-11-22 08:00:00,86.0,15,1,0.19671213195998122,0.05022509759875671,7963.086864048039,7500.141064305093,1661.2978949155386,892.5548909167521
150,2_2_21_CorrectionData.txt,2024-11-22 08:30:00,86.5,15,1,0.19333730752027037,0.10353481473243319,7826.4708866979645,6589.431869098535,2871.1524299550056,1839.9268431064354
151,2_3_21_CorrectionData.txt,2024-11-22 09:00:00,87.0,15,1,0.30679248670892173,0.14991851024016908,12419.240219497242,8228.881510649691,3734.49042839883,2664.215819405964
152,2_4_21_CorrectionData.txt,2024-11-22 09:30:00,87.5,15,1,0.1746916427004955,0.14111333431841974,7071.677335744036,6556.63068269659,2972.811283468116,2507.7382173687233
153,2_1_22_CorrectionData.txt,2024-11-22 10:00:00,88.0,15,1,0.19270169563979714,0.13087483069629638,7800.740736932423,6659.2033178051115,2714.2455267610435,2325.7888151674365
154,2_2_22_CorrectionData.txt,2024-11-22 10:30:00,88.5,15,1,0.21232610214083014,0.1052014254277681,8595.154645551473,6843.363059060588,2739.390300940674,1869.5443371182773
155,2_3_22_CorrectionData.txt,2024-11-22 11:00:00,89.0,15,1,0.19680197214021322,0.13403344889629343,7966.723676642876,6603.364801006948,3034.5559583487893,2381.920913614883
156,2_4_22_CorrectionData.txt,2024-11-22 11:30:00,89.5,15,1,0.27203487408582716,0.06396772656541619,11012.220297813194,7755.8769405101175,3106.408689835155,1136.7764312358652
157,2_1_23_CorrectionData.txt,2024-11-22 12:00:00,90.0,15,1,0.22097851651506242,0.13463627747142753,8945.41228629407,7054.745132179646,3142.6194476502305,2392.6338364133376
158,2_2_23_CorrectionData.txt,2024-11-22 12:30:00,90.5,15,1,0.18824045015222962,0.12569563384738264,7620.145442756212,6618.886886986232,2373.3055562829836,2233.7488252116373
159,3_1_1_CorrectionData.txt,2024-11-22 13:00:00,91.0,15,1,0.3213257196366004,0.033146370915131,13007.55876937749,12638.186751757938,704.4164333297367,589.0472471112394
160,3_2_1_CorrectionData.txt,2024-11-22 13:45:00,91.75,15,1,0.2809655274955254,0.1744278670774654,11373.741308975848,9720.552188423493,4392.544216321977,3099.7738842825624
161,3_3_1_CorrectionData.txt,2024-11-22 14:30:00,92.5,15,1,0.24386362615892176,0.16808007012528497,9871.822437877345,9000.999593324002,3690.6567192756384,2986.9665929662115
